Record_ID,Article_Link,Theme,Tone
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"EPU_ECONOMY_HISTORIC,456","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"EPU_ECONOMY_HISTORIC,1568","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_1921_PRIVATE_SECTOR_DEVELOPMENT,1754","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_1921_PRIVATE_SECTOR_DEVELOPMENT,2139","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_346_COMPETITIVE_INDUSTRIES,1754","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_346_COMPETITIVE_INDUSTRIES,2139","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,1754","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,2139","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_1281_MANUFACTURING,1754","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_1281_MANUFACTURING,2139","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"UNGP_FORESTS_RIVERS_OCEANS,677","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"CRISISLEX_O01_WEATHER,20","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"CRISISLEX_O01_WEATHER,251","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"CRISISLEX_O01_WEATHER,1093","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_678_DIGITAL_GOVERNMENT,427","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_2944_SERVERS,427","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_671_STORAGE_MANAGEMENT,427","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_667_ICT_INFRASTRUCTURE,427","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_672_NETWORK_MANAGEMENT,427","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,427","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"ECON_ENTREPRENEURSHIP,1902","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2282","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,"WB_590_ECOSYSTEMS,2282","4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918134500-675,https://www.engineering.com/novolinc-launches-maxlinc-thermal-interface-material/,,"4.4973544973545,5.29100529100529,0.793650793650794,6.08465608465608,19.5767195767196,0,339"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"EDUCATION,2497","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"EDUCATION,6939","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"EDUCATION,18269","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"ELECTION,256","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"ELECTION,1429","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"ELECTION,6283","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"ELECTION,7772","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"ELECTION,16199","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"ELECTION,16301","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
20260918000000-629,https://www.northcentralpa.com/features/pa-election-2026-your-complete-guide-to-the-candidates-for-governor/article_179b967f-1aa6-4150-8128-9f3d040a57d8.html,"ELECTION,16428","1.05540897097625,3.69393139841689,2.63852242744063,6.33245382585752,21.8997361477573,0.329815303430079,2745"
